color,color_hue,color_sat,color_bri,012501_DSC03539.png_pixels,012501_DSC03539.png_percentage,012502_DSC03540.png_pixels,012502_DSC03540.png_percentage,012601_DSC03541.png_pixels,012601_DSC03541.png_percentage,012602_DSC03542.png_pixels,012602_DSC03542.png_percentage,013001_DSC03543.png_pixels,013001_DSC03543.png_percentage,013101_DSC03544.png_pixels,013101_DSC03544.png_percentage,013201_DSC03545.png_pixels,013201_DSC03545.png_percentage,013701_DSC03546.png_pixels,013701_DSC03546.png_percentage,014201_DSC03547.png_pixels,014201_DSC03547.png_percentage,014202_DSC03548.png_pixels,014202_DSC03548.png_percentage,014301_DSC03549.png_pixels,014301_DSC03549.png_percentage,014302_DSC03550.png_pixels,014302_DSC03550.png_percentage,014303_DSC03551.png_pixels,014303_DSC03551.png_percentage,014304_DSC03552.png_pixels,014304_DSC03552.png_percentage,014801_DSC03553.png_pixels,014801_DSC03553.png_percentage,014802_DSC03554.png_pixels,014802_DSC03554.png_percentage,015201_DSC03555.png_pixels,015201_DSC03555.png_percentage,015301_DSC03556.png_pixels,015301_DSC03556.png_percentage,015501_DSC03557.png_pixels,015501_DSC03557.png_percentage,020901_DSC03558.png_pixels,020901_DSC03558.png_percentage,021001_DSC03559.png_pixels,021001_DSC03559.png_percentage,021901_DSC03560.png_pixels,021901_DSC03560.png_percentage,021902_DSC03561.png_pixels,021902_DSC03561.png_percentage,021903_DSC03562.png_pixels,021903_DSC03562.png_percentage,021904_DSC03563.png_pixels,021904_DSC03563.png_percentage,021905_DSC03564.png_pixels,021905_DSC03564.png_percentage,021906_DSC03565.png_pixels,021906_DSC03565.png_percentage
-10273765,19.479166,185.45454,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,00.08,,,,,,,,,,
-10330553,36.2037,70.2551,98.0,,,,,,,,,,,,,112,00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10333406,32.539062,166.53061,98.0,,,,,,,,,,,,,,,,,,,30,00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10526154,45.397724,114.48979,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,00.05,,,,,,,,,,,,,,,,,,,,,,
-10402779,21.958332,157.73195,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,00.07,,,,,,,,,,
-10788537,52.30769,68.35051,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,00.06,,,,
-10854327,53.586956,61.09375,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,91,00.01,,,,,,,,,,,,,,,,,,,,,,,,,,
-11050934,59.886368,58.4375,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,00.01,,,,,,,,,,,,,,,,,,,,,,
-10532561,23.02083,128.8421,95.0,,,,,,,,,,,,,,,,,,,,,282,00.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13547937,150.59782,123.47369,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,00.01
-10612467,2.0987642,219.73404,94.0,,,,,,,,,,,,,,,69,00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10660561,35.108696,126.129036,93.0,,,,,,,,,,,90,00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15453092,151.1111,199.56522,92.0,,,,,,,,,,,19,00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14075300,155.83333,141.35869,92.0,,,,,,,,,,,,,,,22,00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10802662,10.461538,182.14287,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,00.01,,,,,,,,,,
-14337701,154.25926,151.3187,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,00.01,,,,
-14730917,151.58333,168.13187,91.0,,,,,,,,,,,,,,,,,,,,,,,,,35,00.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10803957,13.812499,224.17583,91.0,,,,,,,,,,,,,,,,,,,,,,,,,370,00.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10865121,16.567797,167.16667,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,00.10,,
-10869754,15.178572,238.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,179,00.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10857682,35.738636,124.666664,90.0,,,,,,,,,,,,,,,,,,,,,,,,,124,00.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16250618,56.666664,85.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4784,00.61,,
-16447227,85.0,113.333336,9.0,,,,,,,,,,,,,,,,,,,,,2834,00.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16185596,25.5,141.66667,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3365,00.43,,,,,,,,,,,,,,,,,,,,
-16512764,85.0,141.66667,9.0,,,,,,,,,,,,,,,,,,,,,,,64,00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16381690,85.0,85.0,9.0,,,,,530,00.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16447229,70.833336,170.0,9.0,,,,,,,221,00.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16186103,212.5,113.333336,9.0,,,,,,,40941,05.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14709,01.87,,,,,,,,,,,,,,
-16185852,16.999998,141.66667,9.0,,,,,,,,,3495,00.44,,,,,19741,02.51,,,,,,,,,21434,02.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16186108,8.499999,141.66667,9.0,,,,,,,,,,,,,,,,,,,60329,07.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16448503,178.5,141.66667,9.0,,,,,,,,,,,271293,34.50,166454,21.17,218831,27.83,275519,35.03,,,26946,03.43,,,203170,25.83,,,,,,,,,,,,,61007,07.76,,,,,,,,,,,,,,
-16185850,0.0,85.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,00.03,,,,,,,,,,,,,,,,,,,,,,
