file,time,diff,color1,perct1,color2,perct2,color3,perct3,color4,perct4,color5,perct5,color6,perct6,color7,perct7,color8,perct8,color9,perct9,color10,perct10,color11,perct11,color12,perct12,color13,perct13,color14,perct14,color15,perct15,color16,perct16,color17,perct17,color18,perct18,color19,perct19,color20,perct20,color21,perct21,color22,perct22,color23,perct23,color24,perct24,color25,perct25,color26,perct26,color27,perct27,color28,perct28,color29,perct29,color30,perct30,color31,perct31,color32,perct32,color33,perct33,color34,perct34,color35,perct35,color36,perct36,color37,perct37,color38,perct38,color39,perct39,color40,perct40,color41,perct41,color42,perct42,color43,perct43,color44,perct44,color45,perct45,color46,perct46,color47,perct47,color48,perct48,color49,perct49,color50,perct50,color51,perct51,color52,perct52,color53,perct53,color54,perct54,color55,perct55,color56,perct56,color57,perct57,color58,perct58,color59,perct59,color60,perct60,color61,perct61,color62,perct62,color63,perct63,color64,perct64
012501_DSC03539.png.csv,01:25:38,0,-15529203,16.16,-15989238,14.86,-15857396,9.98,-16055290,9.49,-15135219,5.77,-15726837,5.43,-16382967,4.61,-14937582,4.26,-15397871,3.71,-14478317,3.36,-15134958,2.25,-15529722,2.08,-16383226,2,-13886955,1.19,-15003634,1.18,-16054009,1.07,-15661563,0.94,-14084589,0.9,-14280682,0.85,-15331054,0.84,-13952231,0.57,-13427175,0.56,-13493227,0.52,-14478834,0.47,-14937319,0.43,-12376806,0.43,-12901605,0.42,-13360869,0.42,-15529966,0.4,-12048358,0.36,-12968684,0.33,-14346215,0.28,-12836586,0.27,-7514581,0.27,-15005179,0.26,-9812952,0.26,-10996188,0.25,-9024212,0.21,-14019572,0.21,-11326440,0.19,-10996707,0.17,-11915741,0.17,-10142685,0.16,-7117003,0.16,-14414584,0.14,-13429236,0.14,-11720431,0.11,-10078180,0.1,-5207465,0.1,-15331059,0.1,-5741777,0.09,-12051952,0.08,-15857136,0.08,-6525365,0.07,-1587290,0.05,-13032158,0.04,-3180747,0.04,-6867924,0.03,-2845103,0.02,-10021617,0.02,-13360876,0.02,-9096153,0.02,-9153208,0.02,-10140891,0.01
012502_DSC03540.png.csv,01:25:52,14,-15463668,16.15,-15989494,13.26,-15857396,8.02,-15069939,7.34,-15661301,6.75,-16120569,5.7,-15989754,5.58,-14937582,4.65,-14478317,3.76,-15529977,3.47,-15397871,2.79,-15135214,2,-15661563,1.78,-16317947,1.67,-13886956,1.36,-14938097,1.24,-14084589,1.1,-14280682,1.08,-14478834,0.91,-12179687,0.89,-15199980,0.82,-15005179,0.69,-13952231,0.65,-13493227,0.61,-13295333,0.5,-13492711,0.47,-14414584,0.43,-12968685,0.41,-15530223,0.41,-13297909,0.36,-13954037,0.34,-14280679,0.33,-12901349,0.32,-9812697,0.31,-7645653,0.31,-12836586,0.31,-10996709,0.31,-15071740,0.29,-9023701,0.26,-11261161,0.23,-10142685,0.23,-10996189,0.22,-12051443,0.2,-7116491,0.17,-10013415,0.16,-11915741,0.16,-11654897,0.15,-15331059,0.14,-6393271,0.09,-5339051,0.08,-15857648,0.07,-5938129,0.07,-9550051,0.07,-401753,0.06,-14086644,0.06,-13031902,0.06,-2578340,0.05,-7392479,0.03,-9226971,0.03,-10085873,0.03,-13360622,0.02,-9151671,0.01,-1388113,0.01,-6003067,0
012601_DSC03541.png.csv,01:26:10,17,-16055031,23.92,-16120826,18.29,-15857396,15.77,-15529204,10.72,-16383227,6.02,-16382967,5.87,-15726837,3.01,-15069940,2.78,-15595514,2.04,-15528943,1.81,-15922938,1.71,-15596027,0.89,-14478579,0.79,-14937583,0.56,-14937843,0.51,-15004923,0.47,-14478318,0.32,-12113641,0.32,-15134959,0.29,-13821421,0.29,-13427437,0.28,-14019315,0.26,-14019055,0.23,-12901612,0.17,-15071742,0.16,-13163752,0.16,-14545398,0.16,-11062245,0.15,-13362932,0.15,-15331310,0.14,-14349563,0.14,-15071735,0.14,-11260648,0.13,-13165291,0.12,-15530478,0.1,-11850991,0.1,-14214890,0.09,-13953526,0.09,-15791600,0.08,-9877723,0.07,-16381690,0.07,-11455451,0.07,-13693686,0.05,-9220049,0.05,-13098736,0.05,-12052467,0.05,-10012635,0.04,-1784154,0.04,-15265524,0.04,-7181997,0.03,-6922704,0.02,-10210278,0.02,-10075363,0.02,-13162973,0.02,-3497369,0.02,-14871527,0.02,-10087145,0.01,-9414581,0.01,-10927310,0.01,-4097919,0.01,-15989742,0.01,-6602442,0,-11389111,0,-15920633,0
012602_DSC03542.png.csv,01:26:22,12,-16514042,49.1,-16382967,19.11,-16120571,11.19,-16186103,5.21,-15463927,3.41,-15595514,2.55,-15069941,2.02,-15922938,1.91,-15661563,1.38,-15922935,1.29,-14478836,0.59,-15004666,0.43,-15726840,0.32,-14872308,0.26,-14150386,0.18,-14610934,0.11,-14084591,0.1,-15071738,0.08,-13886957,0.08,-14872047,0.06,-14478318,0.05,-14545915,0.04,-13163240,0.04,-16447229,0.03,-14214633,0.03,-13493228,0.03,-14084345,0.03,-12309480,0.02,-11717866,0.02,-15068922,0.02,-13297399,0.02,-13360112,0.02,-15201261,0.02,-10992081,0.02,-11651289,0.02,-201038,0.02,-12044761,0.02,-6920148,0.01,-15069652,0.01,-5068617,0.01,-5860766,0.01,-7572905,0.01,-9479899,0.01,-3233176,0.01,-1649769,0.01,-529706,0.01,-3557738,0.01,-15199980,0.01,-15988975,0.01,-13825263,0.01,-14087672,0.01,-11988213,0.01,-9215406,0.01,-13031133,0.01,-9940430,0.01,-9873846,0.01,-2245541,0,-13621462,0,-3515063,0,-9692920,0,-11978172,0,-6680046,0,-14674614,0,-9472874,0
013001_DSC03543.png.csv,01:30:54,264,-16448502,59.08,-16579835,26.71,-16251124,3.89,-16119285,3.31,-16381948,1.73,-16119290,1.54,-16381685,0.77,-15594230,0.46,-16185852,0.44,-15462131,0.31,-15002351,0.14,-13952237,0.13,-15002867,0.12,-14410733,0.11,-15135220,0.08,-15594747,0.07,-14870252,0.07,-13950187,0.06,-15461614,0.06,-13423846,0.05,-15987951,0.05,-13427948,0.05,-14870260,0.05,-14478067,0.05,-13884390,0.05,-12180716,0.04,-12968429,0.04,-15464954,0.04,-14543599,0.03,-14279914,0.03,-14345971,0.03,-12897243,0.03,-15199226,0.03,-14146792,0.03,-16382959,0.03,-12371673,0.02,-11261674,0.02,-13163240,0.02,-15001318,0.02,-13165544,0.01,-6856907,0.01,-15528685,0.01,-13693430,0.01,-10014177,0.01,-11516106,0.01,-9607334,0.01,-13029090,0.01,-6582669,0.01,-12314862,0.01,-5856362,0.01,-11579832,0.01,-9743048,0.01,-13685721,0.01,-15002332,0,-2381144,0,-7850429,0,-3245948,0,-7050918,0,-12893641,0,-13819123,0,-2765645,0,-11718099,0,-15855349,0,-1120555,0
013101_DSC03544.png.csv,01:31:04,10,-16514043,35.48,-16448503,34.5,-15988215,8.69,-16119546,4.29,-15594230,3.28,-16316413,2.77,-16185591,2.77,-16185595,2.34,-15461875,1.54,-15595001,0.76,-16316151,0.71,-15068147,0.56,-15067887,0.34,-15069685,0.32,-14870254,0.21,-15396079,0.2,-14478836,0.15,-14541805,0.11,-14870258,0.1,-13954034,0.09,-14146536,0.08,-15070202,0.08,-15596026,0.06,-15265019,0.06,-13231598,0.05,-13358309,0.04,-15593711,0.04,-15066343,0.04,-13028318,0.03,-13363443,0.03,-14342364,0.03,-6120597,0.02,-13618131,0.02,-12376553,0.02,-14479862,0.02,-14476790,0.02,-14084846,0.02,-13423599,0.01,-11295251,0.01,-16246996,0.01,-10660561,0.01,-1844317,0.01,-922958,0.01,-265018,0.01,-2897003,0.01,-9935545,0.01,-15135468,0.01,-16053486,0.01,-6417889,0.01,-11201259,0.01,-12958917,0,-15855347,0,-14802656,0,-13563378,0,-15453092,0,-680638,0,-4476026,0,-13079127,0,-1398879,0,-12017947,0,-692090,0,-3714490,0,-666166,0,-14728339,0
013201_DSC03545.png.csv,01:32:28,82,-16514043,47.22,-16448503,21.17,-16053750,7.74,-16316413,6.46,-16184827,5.97,-16185851,2.97,-16185590,2.85,-15527412,1.9,-16316151,1.1,-15659510,0.43,-15133427,0.4,-15527418,0.23,-15659770,0.14,-15395823,0.12,-15133167,0.09,-14935795,0.07,-13949159,0.06,-14869997,0.06,-461353,0.05,-14343660,0.05,-15464953,0.04,-13093339,0.04,-11449040,0.04,-4935286,0.04,-65542,0.04,-921911,0.04,-15790069,0.04,-14541549,0.04,-3356519,0.03,-2369356,0.03,-7040916,0.03,-2895960,0.03,-14476534,0.03,-13489125,0.03,-9277875,0.03,-66328,0.03,-16053487,0.03,-1251144,0.02,-15001852,0.02,-5462151,0.02,-15594220,0.02,-65804,0.02,-13890808,0.02,-7698856,0.02,-10310667,0.01,-13410655,0.01,-5096399,0.01,-14410984,0.01,-1985971,0.01,-16181978,0.01,-11395056,0.01,-10330553,0.01,-13620464,0.01,-13554655,0.01,-15001575,0.01,-10200276,0.01,-5989012,0.01,-1843792,0.01,-1384251,0.01,-3557229,0.01,-8159913,0,-15920891,0,-15520168,0,-1516393,0
013701_DSC03546.png.csv,01:37:30,294,-16514042,42.67,-16448503,27.83,-15988215,6.24,-15988474,5.27,-16251382,4.62,-15594230,3.57,-16316413,2.74,-16185852,2.51,-15002867,0.87,-16316150,0.63,-15594746,0.51,-15396595,0.45,-15135220,0.43,-14411246,0.36,-14937071,0.22,-14082797,0.13,-14608883,0.1,-14477042,0.09,-14608879,0.08,-15596027,0.07,-15067886,0.06,-13819627,0.05,-13359079,0.04,-15202041,0.04,-15068412,0.04,-14214905,0.03,-13884903,0.03,-14279912,0.03,-12832485,0.02,-15463151,0.02,-12306396,0.02,-2700656,0.01,-10069968,0.01,-4937871,0.01,-67384,0.01,-6057382,0.01,-595540,0.01,-6986205,0.01,-3297430,0.01,-1057378,0.01,-7767987,0.01,-68168,0.01,-1583466,0.01,-6679524,0.01,-13758712,0.01,-13490680,0.01,-16185583,0.01,-10612467,0.01,-11253459,0.01,-9674163,0.01,-11980271,0.01,-13029597,0.01,-12240591,0,-598412,0,-6835241,0,-10071004,0,-2799287,0,-2314959,0,-9398315,0,-11901031,0,-2903158,0,-16051697,0,-15460568,0,-14075300,0
014201_DSC03547.png.csv,01:42:40,301,-16514042,41.68,-16448503,35.03,-16186107,5.11,-16185846,3.61,-15463414,2.89,-16316404,2.52,-15922934,2.17,-15922938,1.95,-15003124,0.89,-16447228,0.89,-15595002,0.85,-15135220,0.69,-14411246,0.28,-15331059,0.17,-14017261,0.15,-15661559,0.11,-14608883,0.1,-14477042,0.08,-15596028,0.08,-14937071,0.07,-15070204,0.07,-13819627,0.06,-14608879,0.06,-15003386,0.06,-15330808,0.03,-13819623,0.03,-15071995,0.03,-13294057,0.03,-14149367,0.03,-14350072,0.02,-14214375,0.02,-11847897,0.02,-12176358,0.02,-202064,0.01,-13430515,0.01,-10143469,0.01,-1781347,0.01,-13294327,0.01,-11123413,0.01,-5663644,0.01,-6876127,0.01,-15397870,0.01,-13293531,0.01,-16054766,0.01,-11718383,0.01,-11794933,0.01,-9745110,0.01,-9613282,0.01,-9500398,0.01,-15067883,0.01,-2471081,0,-14540513,0,-14869205,0,-13617327,0,-862616,0,-10128480,0,-7639219,0,-3167928,0,-2119282,0,-9477811,0,-15920881,0,-5460283,0,-5272277,0,-7443674,0
014202_DSC03548.png.csv,01:42:48,8,-16514042,42.44,-16382967,26.28,-16186108,7.67,-16251382,7.6,-15988474,3.36,-16316413,3.19,-15528950,2.79,-15922935,1.84,-15595002,1.13,-15003124,0.83,-15135220,0.67,-16381940,0.29,-14017262,0.2,-15331059,0.16,-14345970,0.14,-14345710,0.14,-14543347,0.14,-15661564,0.13,-15135227,0.1,-15661303,0.09,-14871791,0.08,-14083314,0.08,-15068923,0.08,-14543342,0.08,-13491435,0.05,-13819628,0.05,-13162213,0.04,-14149096,0.03,-11319247,0.02,-14346492,0.02,-15332333,0.02,-13884901,0.02,-12109528,0.02,-9674668,0.02,-5463407,0.01,-10136527,0.01,-15988462,0.01,-15134933,0.01,-7507119,0.01,-12045037,0.01,-331853,0.01,-1977954,0.01,-13293299,0.01,-67898,0.01,-6122137,0.01,-15006457,0.01,-13824757,0.01,-13029591,0.01,-4366525,0.01,-13227229,0.01,-15265275,0.01,-11663605,0.01,-7006434,0.01,-12174540,0.01,-15199468,0.01,-10333406,0,-2444977,0,-2971793,0,-927253,0,-2707055,0,-4539683,0,-14016441,0,-9210222,0,-9564910,0
